"","country","year","admin1","admin2","vaccine_name","target_define","doses","target_number"
"6109","GHA",2022,"Greater Accra","Ayawaso Central","BCG","LIVE_BIRTH",3808,4872.9
"6110","GHA",2022,"Greater Accra","Ayawaso East","BCG","LIVE_BIRTH",4314,3164.688
"6111","GHA",2022,"Greater Accra","Ayawaso North","BCG","LIVE_BIRTH",4224,3588.684
"6112","GHA",2022,"Greater Accra","Ayawaso West","BCG","LIVE_BIRTH",5288,4075.376
"6113","GHA",2022,"Greater Accra","Ga Central","BCG","LIVE_BIRTH",7517,14568.356
"6114","GHA",2022,"Greater Accra","Ga East","BCG","LIVE_BIRTH",9086,12573.196
"6115","GHA",2022,"Greater Accra","Ga North","BCG","LIVE_BIRTH",5838,10609.324
"6116","GHA",2022,"Greater Accra","Ga South","BCG","LIVE_BIRTH",11378,15298.94
"6117","GHA",2022,"Greater Accra","Ga West","BCG","LIVE_BIRTH",14857,13835.972
"6118","GHA",2022,"Greater Accra","Korle-Klottey","BCG","LIVE_BIRTH",8807,3802.972
"6119","GHA",2022,"Greater Accra","Kpone-Katamanso","BCG","LIVE_BIRTH",6803,18043.92
"6120","GHA",2022,"Greater Accra","Krowor","BCG","LIVE_BIRTH",3475,6840.612
"6121","GHA",2022,"Greater Accra","La-Dade-Kotopon","BCG","LIVE_BIRTH",2554,6728.424
"6122","GHA",2022,"Greater Accra","La-Nkwantanang-Madina","BCG","LIVE_BIRTH",7148,10992.568
"6123","GHA",2022,"Greater Accra","Ledzokuku","BCG","LIVE_BIRTH",7427,9874.696
"6124","GHA",2022,"Ashanti","Ahafo Ano South East","DTP1","SURVIVING_INFANT",4235,3527
"6125","GHA",2022,"Ashanti","Ahafo Ano South West","DTP1","SURVIVING_INFANT",4265,3619
"6126","GHA",2022,"Ashanti","Amansie Central","DTP1","SURVIVING_INFANT",5014,4705
"6127","GHA",2022,"Ashanti","Amansie South","DTP1","SURVIVING_INFANT",5296,5634
"6128","GHA",2022,"Ashanti","Amansie West","DTP1","SURVIVING_INFANT",5987,5357
"6129","GHA",2022,"Ashanti","Asante Akim Central","DTP1","SURVIVING_INFANT",5716,4650
"6130","GHA",2022,"Ashanti","Asante Akim North","DTP1","SURVIVING_INFANT",5458,4416
"6131","GHA",2022,"Ashanti","Asante Akim South","DTP1","SURVIVING_INFANT",6912,5923
