"","AreaCode","SR","District","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","CatNum","Severity","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1097","AREA # 130901","Shan","Hopan","Hopan","MMR015021","Hopang","Hopan","2","Yes - some difficulty",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1098","AREA # 130902","Shan","Hopan","Minemaw","MMR015008","Mongmao","Minemaw","1","No - no difficulty",207,286,372,440,392,663,299,414,450,300,437,185,168,179,71,88,25,25,15,10,24,6,5,9,1,8,NA,1,4,NA,2,1,2,1,2,5,NA,NA,NA,2,1,NA,NA,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"1099","AREA # 130902","Shan","Hopan","Minemaw","MMR015008","Mongmao","Minemaw","2","Yes - some difficulty",NA,1,5,4,3,4,4,2,2,3,3,4,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100","AREA # 130903","Shan","Hopan","Panwine","MMR015007","Pangwaun","Panwine","3","Yes - a lot of difficulty",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1101","AREA # 130903","Shan","Hopan","Panwine","MMR015007","Pangwaun","Panwine","2","Yes - some difficulty",4,NA,2,2,3,NA,NA,2,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1102","AREA # 130903","Shan","Hopan","Panwine","MMR015007","Pangwaun","Panwine","1","No - no difficulty",238,350,404,564,445,735,369,545,524,399,552,348,236,312,134,248,65,46,54,18,64,17,13,22,9,17,2,6,4,NA,5,2,1,4,1,4,1,1,2,3,1,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,1,NA,NA,1,NA,4,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1103","AREA # 130903","Shan","Hopan","Panwine","MMR015007","Pangwaun","Panwine","4","Yes - cannot see at all",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1104","AREA # 130952","Shan","Hopan","Panlon(ST)","MMR015021","Hopang","Panlon(ST)","1","No - no difficulty",12,19,33,42,47,39,38,45,29,25,12,8,5,4,2,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1105","AREA # 131001","Shan","Makman","Makman","MMR015024","Matman","Makman","1","No - no difficulty",33,51,84,83,80,84,60,76,55,33,25,7,5,3,2,3,4,1,NA,NA,NA,1,NA,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106","AREA # 131001","Shan","Makman","Makman","MMR015024","Matman","Makman","2","Yes - some difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
