"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90","AllAges"
"11","Kachin","Myitkyina","AREA # 010106","Hsotlaw","MMR001006","Tsawlaw","Hsotlaw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15
"12","Kachin","Mohnyin","AREA # 010251","Hopin(ST)","MMR001007","Mohnyin","Hopin(ST)",0,1,2,3,1,1,0,0,0,1,0,0,2,3,0,1,1,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,6,0,2,0,2,2,2,3,0,1,1,3,4,4,4,0,2,1,1,1,2,0,3,4,3,3,2,3,3,1,5,2,1,2,1,1,0,10,118
"13","Kachin","Mohnyin","AREA # 010201","Mohnyin","MMR001007","Mohnyin","Mohnyin",9,0,0,4,1,1,6,5,4,2,1,2,3,1,0,0,2,1,2,0,3,0,1,4,2,2,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,4,2,4,2,0,2,6,2,1,1,2,1,4,1,1,4,3,4,2,3,7,5,3,4,2,7,6,3,4,6,12,3,5,5,3,6,7,1,6,1,19,232
"14","Kachin","Mohnyin","AREA # 010202","Mogaung","MMR001008","Mogaung","Mogaung",1,1,1,1,3,1,1,1,0,1,1,2,2,1,3,0,3,2,1,0,0,3,2,0,2,1,1,1,0,1,1,0,0,0,0,1,1,1,2,1,2,1,3,1,4,4,2,0,0,0,0,3,1,3,4,2,4,2,2,1,7,3,3,3,3,9,0,4,3,1,6,1,1,2,4,1,6,6,2,3,15,3,1,4,9,11,1,3,4,1,17,220
"15","Kachin","Mohnyin","AREA # 010203","Phakant","MMR001009","Hpakant","Phakant",17,3,5,4,4,1,2,7,6,4,4,2,0,0,0,3,1,2,2,1,1,0,0,2,1,4,1,1,2,1,2,0,2,1,0,3,0,1,1,3,5,1,0,0,3,0,3,1,2,3,5,0,5,2,4,7,2,1,2,1,6,3,3,6,6,4,2,4,2,1,5,1,1,4,0,6,2,3,2,2,10,4,3,2,0,2,3,3,1,0,14,246
"16","Kachin","Mohnyin","AREA # 010252","Kamine(ST)","MMR001009","Hpakant","Kamine(ST)",0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,2,0,0,0,1,2,0,1,0,3,0,1,0,1,2,0,1,0,0,3,40
"17","Kachin","Bhamo","AREA # 010301","Bhamo","MMR001010","Bhamo","Bhamo",16,0,2,2,5,1,4,1,3,5,0,7,5,4,6,1,2,4,3,2,3,2,1,2,2,4,2,2,3,2,4,1,4,1,2,5,1,2,3,0,3,2,1,3,3,6,2,2,2,2,5,5,2,7,6,7,5,15,6,7,12,6,2,8,6,16,7,10,9,6,8,5,10,4,9,18,10,4,15,8,23,5,5,6,11,11,9,4,5,5,30,497
"18","Kachin","Bhamo","AREA # 010351","Myohla(ST)","MMR001011","Shwegu","Myohla(ST)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"19","Kachin","Bhamo","AREA # 010302","Shwegu","MMR001011","Shwegu","Shwegu",11,6,3,1,0,1,2,0,4,1,5,2,2,1,2,0,2,1,1,1,1,0,2,3,1,1,2,0,0,1,3,1,2,2,1,2,0,1,0,2,1,0,1,3,1,1,0,3,1,1,1,2,2,2,1,3,2,0,1,3,1,2,4,0,3,4,4,5,4,1,5,3,6,2,11,4,3,3,6,3,6,5,1,5,5,2,5,2,4,4,7,220
"20","Kachin","Bhamo","AREA # 010352","Lwe`ge`(ST)","MMR001012","Momauk","Lwe`ge`(ST)",1,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,1,0,0,0,3,0,1,1,0,3,1,0,0,1,2,1,2,0,2,3,0,1,0,2,2,0,1,1,0,2,0,0,1,0,8,55
