"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90","AllAges"
"11","Kachin","Myitkyina","AREA # 010106","Hsotlaw","MMR001006","Tsawlaw","Hsotlaw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
"12","Kachin","Mohnyin","AREA # 010251","Hopin(ST)","MMR001007","Mohnyin","Hopin(ST)",0,0,2,1,1,0,0,0,2,1,1,1,2,2,1,2,1,4,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,2,0,1,0,0,1,1,0,0,1,0,3,0,0,0,2,0,0,2,0,5,0,1,2,1,2,0,3,1,0,1,2,3,0,0,2,1,1,0,0,1,1,1,2,1,3,2,2,1,2,3,1,1,1,1,5,94
"13","Kachin","Mohnyin","AREA # 010201","Mohnyin","MMR001007","Mohnyin","Mohnyin",1,0,0,3,0,1,2,3,1,2,4,10,5,6,5,1,2,4,2,0,1,3,2,2,3,2,2,5,0,1,0,1,1,0,0,1,3,0,2,2,3,0,0,2,2,4,2,0,2,2,3,0,1,1,0,1,2,0,0,1,3,3,3,0,2,1,1,4,2,0,5,4,1,4,3,3,3,3,3,4,3,1,4,3,1,3,2,2,6,0,8,194
"14","Kachin","Mohnyin","AREA # 010202","Mogaung","MMR001008","Mogaung","Mogaung",0,0,1,1,4,1,0,2,2,3,3,1,1,3,3,0,4,1,0,1,2,2,1,2,1,2,0,2,1,2,2,0,0,0,0,1,0,0,2,1,5,1,1,3,3,4,1,2,0,1,1,0,1,0,3,1,0,2,0,0,6,0,0,2,2,5,0,1,1,1,2,0,2,1,0,3,1,4,1,0,11,0,1,3,4,4,3,1,1,0,9,150
"15","Kachin","Mohnyin","AREA # 010203","Phakant","MMR001009","Hpakant","Phakant",12,1,6,5,3,4,1,3,6,4,4,3,3,4,1,6,0,0,2,2,0,1,0,4,1,4,2,2,2,1,7,2,3,2,1,4,0,2,1,0,4,0,0,1,0,4,4,2,5,2,9,0,3,2,1,2,0,2,4,1,6,0,2,1,2,3,2,3,3,3,4,1,2,2,1,8,1,1,1,2,10,4,1,1,1,2,1,2,1,0,15,241
"16","Kachin","Mohnyin","AREA # 010252","Kamine(ST)","MMR001009","Hpakant","Kamine(ST)",0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,30
"17","Kachin","Bhamo","AREA # 010301","Bhamo","MMR001010","Bhamo","Bhamo",10,1,0,1,2,4,9,2,2,9,0,10,2,3,5,6,1,2,2,2,1,2,2,0,2,1,3,1,2,1,4,2,6,2,4,3,3,2,2,0,3,2,1,5,0,4,1,5,3,0,5,1,4,5,3,11,2,5,5,4,1,3,1,6,1,6,3,2,4,5,5,5,1,2,2,7,4,4,9,4,13,2,5,4,5,9,4,1,3,4,20,330
"18","Kachin","Bhamo","AREA # 010351","Myohla(ST)","MMR001011","Shwegu","Myohla(ST)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"19","Kachin","Bhamo","AREA # 010302","Shwegu","MMR001011","Shwegu","Shwegu",13,8,5,2,0,0,3,1,3,3,3,4,3,2,0,1,5,5,3,1,1,2,2,2,0,0,1,1,0,2,3,0,3,3,2,1,0,0,1,3,1,0,2,2,0,4,1,1,4,2,1,1,0,2,0,2,1,2,1,0,6,1,1,0,1,4,2,1,0,0,2,1,3,3,5,2,2,3,4,1,5,5,1,3,4,1,2,1,2,4,6,195
"20","Kachin","Bhamo","AREA # 010352","Lwe`ge`(ST)","MMR001012","Momauk","Lwe`ge`(ST)",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,1,2,0,2,1,2,3,1,1,0,2,1,0,1,1,0,2,1,0,1,0,7,50
