"","AreaCode","SR","District","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","CatNum","Severity","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina","1","No - no difficulty",735,2064,2558,2655,2566,2648,2381,2659,2885,2634,2217,2085,1864,1744,1237,928,514,337,223,124,94,64,54,36,28,23,18,18,11,15,17,19,11,9,9,11,8,11,2,8,7,3,3,5,3,7,3,6,7,1,7,3,4,3,1,4,1,6,2,3,1,3,3,3,NA,3,1,2,4,4,2,1,NA,3,2,2,NA,NA,1,1,NA,1,1,NA,1,1
"2","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina","3","Yes - a lot of difficulty",NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina","2","Yes - some difficulty",NA,NA,1,2,1,NA,2,5,2,4,2,6,9,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw","1","No - no difficulty",381,912,1128,1166,1086,1140,1009,1178,1124,990,769,638,504,403,251,201,108,66,50,30,24,18,8,16,7,10,7,5,5,3,5,5,4,2,1,5,1,4,4,4,4,1,1,2,2,1,1,4,1,NA,2,1,1,NA,NA,1,2,3,NA,NA,1,2,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw","2","Yes - some difficulty",NA,3,5,1,5,3,1,1,6,5,5,NA,6,1,1,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"6","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw","4","Yes - cannot see at all",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw","3","Yes - a lot of difficulty",NA,NA,1,1,NA,3,1,NA,3,2,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"8","AREA # 010103","Kachin","Myitkyina","Ingyanyan","MMR001003","Injangyang","Ingyanyan","1","No - no difficulty",2,18,12,14,11,18,11,12,17,13,12,9,8,8,2,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","AREA # 010104","Kachin","Myitkyina","Tanaing","MMR001004","Tanai","Tanaing","3","Yes - a lot of difficulty",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","AREA # 010104","Kachin","Myitkyina","Tanaing","MMR001004","Tanai","Tanaing","1","No - no difficulty",121,333,436,428,375,406,338,373,375,305,263,206,152,149,90,64,30,25,12,8,8,3,2,6,4,6,1,2,1,1,2,1,NA,1,NA,1,NA,3,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"11","AREA # 010105","Kachin","Myitkyina","Chiphwe","MMR001005","Chipwi","Chiphwe","1","No - no difficulty",37,91,95,125,104,105,91,106,108,92,63,64,50,35,16,11,8,3,4,4,1,1,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","AREA # 010105","Kachin","Myitkyina","Chiphwe","MMR001005","Chipwi","Chiphwe","2","Yes - some difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","AREA # 010106","Kachin","Myitkyina","Hsotlaw","MMR001006","Tsawlaw","Hsotlaw","1","No - no difficulty",16,55,65,67,74,57,68,72,62,58,49,33,32,20,12,4,4,1,3,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","AREA # 010106","Kachin","Myitkyina","Hsotlaw","MMR001006","Tsawlaw","Hsotlaw","2","Yes - some difficulty",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","AREA # 010151","Kachin","Myitkyina","Hsinbo(ST)","MMR001001","Myitkyina","Hsinbo(ST)","1","No - no difficulty",33,98,109,97,104,96,114,110,76,90,47,39,25,30,19,13,4,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","AREA # 010152","Kachin","Myitkyina","Hsadone(ST)","MMR001002","Waingmaw","Hsadone(ST)","2","Yes - some difficulty",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","AREA # 010152","Kachin","Myitkyina","Hsadone(ST)","MMR001002","Waingmaw","Hsadone(ST)","3","Yes - a lot of difficulty",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","AREA # 010152","Kachin","Myitkyina","Hsadone(ST)","MMR001002","Waingmaw","Hsadone(ST)","1","No - no difficulty",42,105,116,134,120,139,108,112,115,108,84,90,66,60,35,32,16,14,10,5,4,NA,1,NA,1,1,NA,NA,NA,1,1,NA,NA,3,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"19","AREA # 010153","Kachin","Myitkyina","Kanpaikti(ST)","MMR001002","Waingmaw","Kanpaikti(ST)","1","No - no difficulty",23,67,88,78,72,86,55,73,69,52,54,56,36,36,19,13,7,6,7,4,5,3,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","AREA # 010153","Kachin","Myitkyina","Kanpaikti(ST)","MMR001002","Waingmaw","Kanpaikti(ST)","2","Yes - some difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","AREA # 010154","Kachin","Myitkyina","Shinbwayyan(ST)","MMR001004","Tanai","Shinbwayyan(ST)","2","Yes - some difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"22","AREA # 010154","Kachin","Myitkyina","Shinbwayyan(ST)","MMR001004","Tanai","Shinbwayyan(ST)","1","No - no difficulty",35,99,120,131,100,98,96,82,83,53,61,53,48,34,18,17,14,4,2,2,4,2,NA,NA,2,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","AREA # 010155","Kachin","Myitkyina","Panwa(ST)","MMR001005","Chipwi","Panwa(ST)","1","No - no difficulty",10,39,52,69,57,82,52,68,47,49,41,39,24,14,15,3,5,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","AREA # 010201","Kachin","Mohnyin","Mohnyin","MMR001007","Mohnyin","Mohnyin","2","Yes - some difficulty",NA,1,NA,NA,NA,1,1,NA,2,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","AREA # 010201","Kachin","Mohnyin","Mohnyin","MMR001007","Mohnyin","Mohnyin","1","No - no difficulty",453,1501,1599,1674,1545,1602,1576,1667,1681,1326,1054,860,751,615,473,309,148,92,57,37,21,21,6,19,23,14,7,9,7,2,10,5,4,11,6,4,1,5,4,2,5,2,4,5,1,5,NA,1,1,3,1,NA,1,3,3,1,1,3,2,2,2,1,2,2,1,1,NA,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2
"26","AREA # 010201","Kachin","Mohnyin","Mohnyin","MMR001007","Mohnyin","Mohnyin","3","Yes - a lot of difficulty",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","AREA # 010202","Kachin","Mohnyin","Mogaung","MMR001008","Mogaung","Mogaung","3","Yes - a lot of difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"28","AREA # 010202","Kachin","Mohnyin","Mogaung","MMR001008","Mogaung","Mogaung","1","No - no difficulty",388,1240,1391,1434,1388,1452,1350,1459,1489,1195,951,794,674,512,359,226,108,76,45,33,20,11,15,13,7,7,6,6,8,7,4,7,3,3,3,3,1,2,5,3,5,3,2,3,1,2,NA,4,2,3,3,NA,NA,2,3,1,1,1,4,2,2,1,1,1,NA,4,NA,1,1,NA,1,1,2,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA
"29","AREA # 010202","Kachin","Mohnyin","Mogaung","MMR001008","Mogaung","Mogaung","2","Yes - some difficulty",NA,NA,2,NA,2,1,1,1,NA,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","AREA # 010202","Kachin","Mohnyin","Mogaung","MMR001008","Mogaung","Mogaung","4","Yes - cannot see at all",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","AREA # 010203","Kachin","Mohnyin","Phakant","MMR001009","Hpakant","Phakant","3","Yes - a lot of difficulty",NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","AREA # 010203","Kachin","Mohnyin","Phakant","MMR001009","Hpakant","Phakant","1","No - no difficulty",379,1140,1325,1388,1209,1264,1166,1288,1231,1051,808,757,640,533,357,250,133,86,50,38,18,25,14,17,9,12,7,8,8,6,4,9,5,4,1,6,3,4,4,2,7,NA,1,NA,1,3,1,NA,2,NA,3,NA,NA,2,NA,3,1,1,NA,NA,2,NA,1,2,NA,1,NA,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"33","AREA # 010203","Kachin","Mohnyin","Phakant","MMR001009","Hpakant","Phakant","2","Yes - some difficulty",NA,2,2,1,1,1,NA,4,3,1,1,7,5,1,2,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"34","AREA # 010251","Kachin","Mohnyin","Hopin(ST)","MMR001007","Mohnyin","Hopin(ST)","3","Yes - a lot of difficulty",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","AREA # 010251","Kachin","Mohnyin","Hopin(ST)","MMR001007","Mohnyin","Hopin(ST)","1","No - no difficulty",131,389,483,526,453,499,481,560,515,424,357,276,217,227,165,101,42,27,13,13,9,10,9,8,1,4,5,1,5,2,7,1,1,2,1,NA,2,1,NA,NA,NA,2,3,NA,2,2,1,2,NA,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"36","AREA # 010251","Kachin","Mohnyin","Hopin(ST)","MMR001007","Mohnyin","Hopin(ST)","2","Yes - some difficulty",NA,NA,NA,1,NA,NA,NA,2,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","AREA # 010252","Kachin","Mohnyin","Kamine(ST)","MMR001009","Hpakant","Kamine(ST)","1","No - no difficulty",48,156,215,207,203,213,165,212,166,183,142,102,72,69,42,32,17,11,10,1,4,1,5,5,1,2,2,1,NA,1,NA,NA,NA,NA,NA,3,NA,2,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"38","AREA # 010252","Kachin","Mohnyin","Kamine(ST)","MMR001009","Hpakant","Kamine(ST)","2","Yes - some difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","AREA # 010301","Kachin","Bhamo","Bhamo","MMR001010","Bhamo","Bhamo","1","No - no difficulty",381,1077,1148,1202,1074,1236,1091,1164,1092,962,727,594,515,448,305,240,122,68,50,26,28,15,12,14,7,7,5,6,6,2,6,6,4,4,1,5,2,3,2,2,1,2,3,3,2,2,3,1,NA,4,1,4,1,2,1,4,3,NA,NA,2,3,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA
"40","AREA # 010301","Kachin","Bhamo","Bhamo","MMR001010","Bhamo","Bhamo","2","Yes - some difficulty",1,NA,NA,1,1,1,3,2,3,5,3,4,4,4,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","AREA # 010301","Kachin","Bhamo","Bhamo","MMR001010","Bhamo","Bhamo","3","Yes - a lot of difficulty",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","AREA # 010301","Kachin","Bhamo","Bhamo","MMR001010","Bhamo","Bhamo","4","Yes - cannot see at all",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","AREA # 010302","Kachin","Bhamo","Shwegu","MMR001011","Shwegu","Shwegu","2","Yes - some difficulty",NA,1,1,NA,NA,4,1,1,4,2,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","AREA # 010302","Kachin","Bhamo","Shwegu","MMR001011","Shwegu","Shwegu","1","No - no difficulty",255,736,856,885,871,860,845,889,858,594,493,355,274,214,154,121,58,35,24,2,9,5,6,3,3,1,4,2,2,NA,1,NA,1,NA,NA,1,NA,1,2,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","AREA # 010303","Kachin","Bhamo","Momauk","MMR001012","Momauk","Momauk","1","No - no difficulty",109,408,472,460,468,479,386,458,433,367,289,226,188,118,78,54,22,13,9,3,2,2,1,3,2,5,NA,NA,3,NA,2,1,NA,NA,1,3,1,2,1,3,2,NA,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
