"","AreaCode","SR","District","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","CatNum","Severity","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1139","AREA # 140101","Ayeyawady","Pathein","Kangyidaunt","MMR017002","Kangyidaunt","Kangyidaunt","2","Yes - some difficulty",NA,2,1,4,3,3,1,2,NA,2,4,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"1140","AREA # 140101","Ayeyawady","Pathein","Kangyidaunt","MMR017002","Kangyidaunt","Kangyidaunt","3","Yes - a lot of difficulty",1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1141","AREA # 140101","Ayeyawady","Pathein","Kangyidaunt","MMR017002","Kangyidaunt","Kangyidaunt","4","Yes - cannot see at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142","AREA # 140101","Ayeyawady","Pathein","Kangyidaunt","MMR017002","Kangyidaunt","Kangyidaunt","1","No - no difficulty",491,1471,1522,1496,1527,1540,1400,1213,1096,848,605,436,382,330,175,120,57,32,23,15,10,7,14,11,9,12,5,6,5,NA,5,4,4,2,2,1,2,5,4,5,5,1,NA,2,4,1,1,6,3,2,NA,2,3,NA,2,2,NA,2,3,NA,3,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"1143","AREA # 140102","Ayeyawady","Pathein","Kyaungon","MMR017007","Kyaunggon","Kyaungon","2","Yes - some difficulty",1,NA,1,3,2,NA,5,4,5,1,3,4,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA
"1144","AREA # 140102","Ayeyawady","Pathein","Kyaungon","MMR017007","Kyaunggon","Kyaungon","3","Yes - a lot of difficulty",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1145","AREA # 140102","Ayeyawady","Pathein","Kyaungon","MMR017007","Kyaunggon","Kyaungon","4","Yes - cannot see at all",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1146","AREA # 140102","Ayeyawady","Pathein","Kyaungon","MMR017007","Kyaunggon","Kyaungon","1","No - no difficulty",537,1196,1345,1261,1308,1319,1260,1203,995,717,610,427,332,235,139,99,50,36,18,17,13,8,5,10,6,9,6,4,4,2,3,4,7,3,2,3,4,4,2,1,8,1,3,1,3,NA,3,1,4,1,2,1,3,2,2,1,1,2,NA,NA,2,1,NA,NA,NA,NA,NA,1,1,1,1,NA,2,2,2,NA,NA,NA,1,1,NA,NA,NA,1,NA,1
"1147","AREA # 140103","Ayeyawady","Pathein","Kyonpyaw","MMR017005","Kyonpyaw","Kyonpyaw","1","No - no difficulty",775,1864,2058,1897,1997,1991,1897,1781,1602,1202,999,749,578,420,269,194,91,47,19,21,16,14,17,11,8,1,3,8,9,4,4,4,4,2,4,4,4,3,2,NA,2,1,1,NA,2,4,1,4,1,2,4,3,2,2,2,NA,6,4,1,2,3,NA,1,1,1,3,2,1,NA,1,NA,3,NA,2,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,NA
"1148","AREA # 140103","Ayeyawady","Pathein","Kyonpyaw","MMR017005","Kyonpyaw","Kyonpyaw","2","Yes - some difficulty",NA,1,5,3,6,6,6,3,7,8,7,7,5,NA,2,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
