"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","y6","y7","y8","y9","y10","PriAges"
"44","Kayin","Hpa-an","AREA # 030154","Bawgali(ST)","MMR003004","Thandaunggyi","Bawgali(ST)",2,1,0,0,0,3
"45","Kayin","Hpa-an","AREA # 030153","Leiktho(ST)","MMR003004","Thandaunggyi","Leiktho(ST)",2,2,1,3,2,10
"46","Kayin","Hpa-an","AREA # 030103","Thandaunggyi","MMR003004","Thandaunggyi","Thandaunggyi",0,3,0,0,0,3
"47","Kayin","Myawady","AREA # 030301","Myawady","MMR003005","Myawaddy","Myawady",1,2,6,5,2,16
"48","Kayin","Myawady","AREA # 030352","Wawlaymyaing(ST)","MMR003005","Myawaddy","Wawlaymyaing(ST)",0,0,0,0,1,1
"49","Kayin","Myawady","AREA # 030351","Sugali(ST)","MMR003005","Myawaddy","Sugali(ST)",1,0,1,0,0,2
"50","Kayin","Kawkareik","AREA # 030401","Kawkareik","MMR003006","Kawkareik","Kawkareik",8,11,4,5,3,31
"51","Kayin","Kawkareik","AREA # 030402","Kyarinseikkyi","MMR003007","Kyainseikgyi","Kyarinseikkyi",1,4,3,3,3,14
"52","Kayin","Kawkareik","AREA # 030451","Payarthonezu(ST)","MMR003007","Kyainseikgyi","Payarthonezu(ST)",2,1,4,2,4,13
"53","Kayin","Kawkareik","AREA # 030452","Kyaidon(ST)","MMR003007","Kyainseikgyi","Kyaidon(ST)",0,2,0,0,1,3
"54","Chin","Falam","AREA # 040251","Rihkhuadal(ST)","MMR004001","Falam","Rihkhuadal(ST)",0,0,0,0,0,0
"55","Chin","Falam","AREA # 040201","Falam","MMR004001","Falam","Falam",2,3,1,2,0,8
"56","Chin","Haka","AREA # 040101","HaKa","MMR004002","Hakha","HaKa",1,1,0,0,1,3
"57","Chin","Haka","AREA # 040102","Thantlang","MMR004003","Thantlang","Thantlang",4,5,0,0,2,11
"58","Chin","Falam","AREA # 040202","Tedim","MMR004004","Tedim","Tedim",1,3,1,1,1,7
"59","Chin","Falam","AREA # 040252","Cikha(ST)","MMR004005","Tonzang","Cikha(ST)",0,0,0,0,0,0
"60","Chin","Falam","AREA # 040203","Tonzaung","MMR004005","Tonzang","Tonzaung",1,1,0,0,1,3
"61","Chin","Mindat","AREA # 040301","Mindat","MMR004006","Mindat","Mindat",2,0,0,1,1,4
"62","Chin","Mindat","AREA # 040351","Reazu(ST)","MMR004007","Matupi","Reazu(ST)",1,2,0,1,1,5
"63","Chin","Mindat","AREA # 040302","Matupi","MMR004007","Matupi","Matupi",2,5,1,4,10,22
"64","Chin","Mindat","AREA # 040303","Kanpalet","MMR004008","Kanpetlet","Kanpalet",0,2,1,2,1,6
"65","Chin","Mindat","AREA # 040304","Paletwat","MMR004009","Paletwa","Paletwat",3,1,2,4,4,14
"66","Chin","Mindat","AREA # 040352","Sami(ST)","MMR004009","Paletwa","Sami(ST)",1,2,0,0,3,6
"67","Sagaing","Sagaing","AREA # 050101","Sagaing","MMR005001","Sagaing","Sagaing",4,5,8,5,6,28
"68","Sagaing","Sagaing","AREA # 050102","Myinmu","MMR005002","Myinmu","Myinmu",2,4,1,2,2,11
"69","Sagaing","Sagaing","AREA # 050103","Myaung","MMR005003","Myaung","Myaung",0,2,0,3,0,5
"70","Sagaing","Shwebo","AREA # 050201","Shwebo","MMR005004","Shwebo","Shwebo",4,6,3,2,3,18
"71","Sagaing","Shwebo","AREA # 050251","Kyaukmyaung(ST)","MMR005004","Shwebo","Kyaukmyaung(ST)",0,0,0,0,0,0
"72","Sagaing","Shwebo","AREA # 050202","Khin U","MMR005005","Khin-U","Khin U",3,1,2,1,3,10
"73","Sagaing","Shwebo","AREA # 050203","Wetlet","MMR005006","Wetlet","Wetlet",0,4,3,2,1,10
"74","Sagaing","Shwebo","AREA # 050204","Kambalu","MMR005007","Kanbalu","Kambalu",4,6,5,1,7,23
"75","Sagaing","Shwebo","AREA # 050205","Kyunhlau","MMR005008","Kyunhla","Kyunhlau",1,0,3,2,0,6
"76","Sagaing","Shwebo","AREA # 050206","Ye U","MMR005009","Ye-U","Ye U",3,2,2,0,3,10
"77","Sagaing","Shwebo","AREA # 050207","Depayin","MMR005010","Tabayin","Depayin",3,3,0,1,1,8
